treeID,state,b1_hm_box1,b2_hm_box1,b3_hm_box1,b4_hm_box1,b5_hm_box1,b6_hm_box1,b7_hm_box1,b8_hm_box1,b9_hm_box1,b10_hm_box,b11_hm_box,b12_hm_box,b13_hm_box,b14_hm_box,b15_hm_box,b16_hm_box,b17_hm_box,b18_hm_box,b19_hm_box,b20_hm_box,b21_hm_box,b22_hm_box,b23_hm_box,b24_hm_box,b25_hm_box,b26_hm_box,b27_hm_box,b28_hm_box,b29_hm_box,b30_hm_box,b31_hm_box,b32_hm_box,b33_hm_box,b34_hm_box,b35_hm_box,b36_hm_box,b37_hm_box
556,1,18,41,14,0.246575,0.561644,0.191781,-15.8000002,0.511111,0.38983,0.676808,-4.0055499,50,0.438596,0.194444,50.3801003,0.27442,19.0123005,3.4814799,3.92277,0.0230148,0.238653,0.30054,105.6800003,0.219551,21.5802002,3.80247,4.11415,0.0175278,0.396543,0.182485,45.1710014,0.280725,18.6420002,3.4321001,3.92277,0.0230148,0.172278
528,1,41,60,36,0.29927,0.437956,0.262774,-2.5999999,0.292308,0.188119,0.363378,-2.1315501,43,0.218274,0.246528,56.7002983,0.42782,3.7777801,1.55556,3.26142,0.0464868,0.241173,0.317901,93.0223999,0.41591,4.1728401,1.62963,3.3831301,0.0397805,0.276427,0.227045,48.2388,0.397458,3.76543,1.61728,3.2451601,0.0483158,0.141053
521,1,97,124,92,0.309904,0.396166,0.29393,11.8000002,0.209302,0.122172,0.24075,-12.2595997,59,0.135011,0.273727,69.873703,0.306193,17,3.07407,3.67237,0.0321597,0.031568,0.382523,133.7870026,0.304185,20.9505997,3.3703699,3.7177899,0.0361225,0.0245485,0.271412,68.7073975,0.298981,16.3827,3.0246899,3.6115899,0.0367322,-0.0113728
519,1,83,113,84,0.296429,0.403571,0.3,3.2,0.267857,0.153061,0.299115,-11.8225002,59,0.150127,0.326775,106.3170013,0.262365,20.1975002,3.3580201,3.8038199,0.0266728,-0.403047,0.423804,177.602005,0.276468,20.6790009,3.3703699,3.69802,0.0300259,-0.461628,0.330633,107.2030029,0.343332,20.3950996,3.16049,3.6809001,0.0309404,-0.492594
515,1,65,82,57,0.318627,0.401961,0.279412,9,0.188889,0.115646,0.22824,-2.8445499,42,0.146853,0.264082,64.357399,0.521429,2.9753101,1.2716,2.77953,0.0797135,-0.0926933,0.336806,104.8219986,0.493034,3.0617299,1.33333,2.89429,0.067825,0.0641395,0.229745,48.8347015,0.485118,3.2222199,1.37037,2.87292,0.069654,-0.103689
500,1,76,112,78,0.285714,0.421053,0.293233,-5.5999999,0.327273,0.191489,0.369432,-16.3386002,70,0.185185,0.336806,109.1880035,0.425563,4.3209901,1.65432,3.3370299,0.0470965,0.442771,0.458719,200.5140076,0.406502,5.2592602,1.82716,3.33427,0.0440482,0.317638,0.321373,102.4840012,0.461404,3.92593,1.5308599,3.2274101,0.0614236,0.328829
500,1,76,112,78,0.285714,0.421053,0.293233,-5.5999999,0.327273,0.191489,0.369432,-16.3386002,70,0.185185,0.336806,109.1880035,0.425563,4.3209901,1.65432,3.3370299,0.0470965,0.442771,0.458719,200.5140076,0.406502,5.2592602,1.82716,3.33427,0.0440482,0.317638,0.321373,102.4840012,0.461404,3.92593,1.5308599,3.2274101,0.0614236,0.328829
486,1,63,86,53,0.311881,0.425743,0.262376,2.2,0.239583,0.154362,0.30154,-8.7905502,56,0.194444,0.277199,81.8458023,0.225319,14.6049004,3.19753,3.7193301,0.0281969,-0.288597,0.375964,144.6609955,0.224888,16.0617008,3.34568,3.82201,0.0251486,-0.283017,0.257716,72.2451019,0.220049,15.4074001,3.30864,3.7170601,0.0281969,-0.338352
481,1,29,63,29,0.239669,0.520661,0.239669,-22.3999996,0.539683,0.369565,0.650312,-12.7615004,68,0.369565,0.16358,27.0459995,0.370895,5.7283902,1.92593,3.34741,0.0431337,-0.206994,0.294946,84.8079987,0.342121,7.9629598,2.23457,3.6166401,0.0330742,0.0135302,0.168017,28.7465992,0.342552,6.8024702,2.11111,3.4165101,0.0413047,-0.19317
474,1,54,76,53,0.295082,0.415301,0.289617,-0.4,0.285714,0.169231,0.329038,-3.9495499,45,0.173745,0.28125,73.7442017,0.412108,5.4074101,1.80247,3.23244,0.044353,-0.0537174,0.373071,128.3600006,0.386019,6.4444399,1.97531,3.2925301,0.0455723,-0.0222825,0.283372,74.8302002,0.367374,6.7283902,2.03704,3.3910301,0.0379515,-0.0354455
466,1,122,132,122,0.324468,0.351064,0.324468,38.7999992,0.0757576,0.0393701,0.0786183,3.2674501,20,0.0393701,0.394676,169.9219971,0.207545,20.5678997,3.7530899,4.15484,0.0166133,-0.0089768,0.445602,210.8079987,0.232456,18.2963009,3.4814799,3.95786,0.020881,0.0177458,0.391782,169.1309967,0.228958,18.8271999,3.5678999,3.95786,0.0214906,0.021939
461,1,50,83,51,0.271739,0.451087,0.277174,-13,0.402439,0.24812,0.467462,-12.6505003,65,0.243446,0.288002,94.2766037,0.278044,18.7036991,3.3950601,3.8038199,0.0260631,-0.439031,0.402971,174.9889984,0.25165,19.9382992,3.5678999,3.95366,0.0211858,-0.327389,0.285301,91.9340973,0.2481,17.8395004,3.3950601,3.89359,0.0224051,-0.454459
456,1,98,123,91,0.314103,0.394231,0.291667,14.1999998,0.192308,0.113122,0.223386,-11.3225002,57,0.131034,0.344136,108.336998,0.432155,7.9753098,2.0246899,3.46067,0.0416095,0.37709,0.427083,169.2899933,0.432071,7.4814801,1.97531,3.57054,0.0349032,0.382366,0.317708,93.3984985,0.399076,7.54321,2.0617299,3.6735899,0.0321597,0.400563
454,1,49,79,49,0.276836,0.446328,0.276836,-10.3999996,0.379747,0.234375,0.444342,-10.3375998,60,0.234375,0.266589,66.594101,0.287203,12.4443998,2.83951,3.85936,0.0236244,0.0208933,0.383102,135.7310028,0.289745,13.5556002,2.9382701,3.8787401,0.0233196,0.0618733,0.265432,66.5874023,0.283523,12.3704004,2.81481,3.7779801,0.0254534,0.0530073
448,1,67,94,53,0.313084,0.439252,0.247664,-0.2,0.25,0.167702,0.326229,-14.0745001,68,0.220779,0.196952,44.3735008,0.165258,20.2346001,3.9135799,3.9985499,0.0199665,0.0716117,0.294946,92.2851028,0.136314,28.7283993,4.6296301,4.18261,0.0163085,0.179573,0.158179,31.9020004,0.188024,16.3209991,3.50617,3.9814301,0.0202713,-0.0086881
444,1,9,40,9,0.155172,0.689655,0.155172,-27.3999996,0.775,0.632653,0.903629,-9.0185499,62,0.632653,0.196373,48.8848991,0.307488,11.2840004,2.6666701,3.8764801,0.0245389,0.298345,0.322338,115.4810028,0.294428,13.0740995,2.8765399,3.92277,0.0230148,0.361878,0.207562,55.4188004,0.295627,12.0494003,2.76543,3.8894,0.0233196,0.320044
440,1,62,87,63,0.292453,0.410377,0.29717,-0.2,0.290698,0.167785,0.326382,-6.2625499,49,0.16388,0.13966,21.5599995,0.323878,10.7406998,2.5925901,3.8132701,0.0272824,0.240886,0.231096,53.2485008,0.256279,14.6913996,3.11111,3.9814301,0.020881,0.433792,0.138889,21.4671993,0.33746,11.0369997,2.5678999,3.8338599,0.0257583,0.191836
439,1,79,93,69,0.327801,0.385892,0.286307,17.6000004,0.135922,0.0813954,0.161719,-1.74155,38,0.113772,0.318866,96.9029007,0.405011,4.5555601,1.71605,3.43925,0.0367322,0.46077,0.385802,139.1029968,0.370918,5.0864201,1.85185,3.5307,0.0355129,0.435028,0.292824,81.5739975,0.384537,4.76543,1.7777801,3.5162101,0.0336839,0.38294
436,1,77,103,67,0.311741,0.417004,0.271255,4.8000002,0.230089,0.144444,0.282985,-12.2035999,62,0.177143,0.25,63.1180992,0.32154,8.4691401,2.3703699,3.79424,0.0254534,0.53067,0.370949,133.2920074,0.337702,9.9382696,2.4814799,3.8829401,0.0230148,0.560292,0.240934,59.8348007,0.317278,8.5802498,2.38272,3.88713,0.02271,0.498127
416,1,51,74,53,0.286517,0.41573,0.297753,-2.5999999,0.319444,0.184,0.355949,-3.51055,44,0.174603,0.245949,82.796402,0.194445,24.0863991,4.1851802,4.09477,0.0184423,0.0415877,0.328511,135.9490051,0.182203,27.3950996,4.4814801,4.11415,0.0175278,0.0636644,0.247106,84.697403,0.177912,26.0617008,4.3580198,4.0734601,0.0184423,0.0367557
410,1,50,75,43,0.297619,0.446429,0.255952,-5,0.304878,0.2,0.384615,-8.6825504,57,0.234568,0.274884,74.7842026,0.177708,25.469101,4.30864,4.0369701,0.0196616,0.0676197,0.378086,134.9120026,0.161915,26.0741005,4.3456802,4.02212,0.0205761,0.110158,0.245177,61.7849007,0.172954,26.2098999,4.3580198,4.0361199,0.0205761,0.0484646
409,1,45,55,45,0.310345,0.37931,0.310345,8,0.181818,0.1,0.19802,7.50245,20,0.1,0.193094,35.2944984,0.734568,0.679012,0.555556,1.4943399,0.305289,-0.0483368,0.228974,48.6385002,0.688381,0.975309,0.679012,1.61667,0.257125,-0.135074,0.19213,35.3230019,0.766158,0.790123,0.518519,1.81292,0.233653,0.122718
397,1,95,121,87,0.313531,0.39934,0.287129,12,0.20155,0.12037,0.237302,-12.4235001,60,0.141509,0.335648,105.8560028,0.14392,22.5925999,4.14815,3.9121201,0.0230148,-0.187879,0.440394,179.4609985,0.142036,25.0741005,4.3580198,3.9514,0.0211858,-0.154404,0.294753,83.572403,0.172536,21.6543007,4,3.9791701,0.020881,-0.29843
395,1,98,125,96,0.30721,0.39185,0.30094,12.1999998,0.212598,0.121076,0.238654,-11.1595001,56,0.126126,0.295911,83.9097977,0.386424,7.6543198,2.0987699,3.6208301,0.035208,0.391899,0.395255,148.2839966,0.33468,8.1111097,2.2592599,3.52772,0.040695,0.5586,0.285301,78.460701,0.354433,8.0123501,2.2098801,3.5164299,0.0376467,0.393672
390,1,58,83,54,0.297436,0.425641,0.276923,-1.8,0.287356,0.177305,0.343802,-7.9675498,54,0.194245,0.296875,90.2328033,0.428764,4.2098799,1.61728,3.0225899,0.0556318,-0.121618,0.398341,160.4810028,0.426518,4.4320998,1.6419801,3.16172,0.0547173,-0.0309222,0.276235,80.9222031,0.4243,4.5925899,1.67901,3.0193901,0.0586801,-0.0508333
387,1,39,62,43,0.270833,0.430556,0.298611,-7.4000001,0.396552,0.227723,0.432992,-2.08055,42,0.203883,0.136767,19.6630001,0.310677,9.9876499,2.5555601,3.5139501,0.0349032,-0.269791,0.222994,48.9420013,0.294887,16.7159996,3.2098801,3.72159,0.0312452,-0.21426,0.15162,24.3351002,0.29741,11.4568005,2.7407401,3.56827,0.0336839,-0.324735
384,1,84,107,80,0.309963,0.394834,0.295203,10.6000004,0.207207,0.120419,0.237395,-7.63555,50,0.132275,0.310957,94.3339996,0.442208,4.54321,1.62963,3.3491199,0.0431337,0.203205,0.381173,142.6490021,0.451292,5.3580198,1.7284,3.4231901,0.0431337,0.211713,0.278742,77.1826019,0.449466,4.6790099,1.6419801,3.3482699,0.0428288,0.221875
379,1,55,75,49,0.307263,0.418994,0.273743,2,0.246914,0.153846,0.300578,-4.1675501,46,0.181102,0.24537,63.6722984,0.411921,5.1357999,1.7777801,3.14309,0.0592897,-0.30745,0.317323,103.3059998,0.397915,5.69136,1.8642,3.1907001,0.0550221,-0.305941,0.216242,51.4751015,0.394316,5.61728,1.8642,3.0840399,0.0592897,-0.324935
374,1,55,74,51,0.305556,0.411111,0.283333,3,0.24359,0.147287,0.288319,-2.5165501,42,0.165354,0.262346,61.8818016,0.505123,2.5678999,1.23457,2.6670101,0.0882487,0.187889,0.333719,100.0049973,0.531557,2.3703699,1.16049,2.5423999,0.0973937,0.272775,0.236497,49.4669991,0.537981,2.0987699,1.11111,2.5137801,0.094955,0.267336
336,1,65,85,65,0.302326,0.395349,0.302326,6,0.235294,0.133333,0.262009,-2.4075501,40,0.133333,0.252508,62.7210999,0.402427,6.5061698,1.96296,3.33201,0.0428288,-0.18106,0.334105,108.7699966,0.365064,7.7777801,2.1728401,3.4047999,0.040695,-0.20004,0.256366,65.4121017,0.381265,7.1728401,2.0864201,3.36099,0.040695,-0.221783
331,1,19,46,28,0.204301,0.494624,0.301075,-19.3999996,0.72973,0.415385,0.708518,-2.57955,45,0.323741,0.201389,42.2212982,0.302473,12.9630003,2.8642001,3.6368699,0.0318549,0.122032,0.303819,89.9039001,0.245455,15.0494003,3.1234601,3.82094,0.0251486,0.312908,0.228009,52.5447006,0.298087,13.2593002,2.88889,3.7005,0.0303307,0.155015
329,1,67,87,64,0.307339,0.399083,0.293578,6.8000002,0.222222,0.12987,0.255432,-3.67255,43,0.140984,0.252122,65.4173965,0.515508,2.58025,1.2222199,2.8547299,0.0730072,0.283341,0.333912,113.387001,0.479197,2.9753101,1.34568,3.0148599,0.0586801,0.361023,0.252315,65.6179962,0.485626,2.9876499,1.33333,2.88166,0.0693492,0.207426
316,1,48,84,46,0.269663,0.47191,0.258427,-16.7999992,0.418605,0.272727,0.507692,-16.3386002,74,0.282443,0.248264,62.2000999,0.30219,7.1975298,2.2839501,3.5880101,0.0312452,-0.0916487,0.382523,144.0829926,0.293954,6.85185,2.23457,3.4732599,0.0339887,-0.156015,0.243827,61.3535995,0.317231,7.0864201,2.2222199,3.5288,0.0333791,-0.129282
314,1,54,78,51,0.295082,0.42623,0.278689,-2.4000001,0.296296,0.181818,0.352,-6.4815502,51,0.195402,0.274306,69.4505005,0.361376,4.69136,1.80247,3.1758001,0.0611187,0.197736,0.374228,128.4140015,0.416724,5.45679,1.80247,3.20539,0.0589849,0.389795,0.272377,68.1832962,0.397764,4.83951,1.75309,3.21983,0.0595946,0.250208
294,1,62,85,56,0.305419,0.418719,0.275862,1.8,0.252747,0.156463,0.305448,-7.19555,52,0.180556,0.267554,68.8673019,0.425892,3,1.44444,3.0524299,0.0531931,0.180304,0.364005,127.4729996,0.418228,3.34568,1.51852,3.2125599,0.0452675,0.228407,0.25463,63.218399,0.426144,2.88889,1.4321001,3.03929,0.0547173,0.213269
284,1,66,101,70,0.278481,0.42616,0.295359,-8.6000004,0.360825,0.209581,0.401525,-14.1375999,66,0.195266,0.266204,86.6557007,0.282055,12.5925999,2.8642001,3.7493601,0.0272824,0.045572,0.380401,169.5820007,0.319765,16.9382992,3.18519,3.6710999,0.0318549,0.0802713,0.272184,92.6761017,0.281922,15.5925999,3.14815,3.66677,0.0315501,0.0049806
277,1,14,47,21,0.170732,0.573171,0.256098,-27.3999996,0.825,0.540984,0.837006,-8.3605499,59,0.457364,0.184414,37.2024994,0.339456,12.4938002,2.6666701,3.6356599,0.0318549,-0.203472,0.291281,84.8851013,0.319069,15.3332996,2.83951,3.72579,0.0278921,-0.163272,0.200424,43.1533012,0.299372,12.7284002,2.72839,3.7428999,0.0288066,-0.219695
259,0,90,111,92,0.307167,0.37884,0.313993,15,0.192661,0.104478,0.206699,-3.8935499,40,0.0990099,0.236111,57.0667,0.244603,17.8024998,3.45679,3.9407401,0.0217955,0.0676584,0.331404,107.3789978,0.226357,21.3827,3.72839,4.0050001,0.0202713,0.0387932,0.247106,62.0979996,0.240749,18.3085995,3.49383,3.91943,0.0217955,0.0598031
248,0,61,88,63,0.287736,0.415094,0.29717,-2.5999999,0.313953,0.181208,0.350894,-7.5845499,52,0.173333,0.270448,69.2153015,0.370254,9.1358004,2.2469101,3.52759,0.0358177,0.0927567,0.378279,133.2420044,0.366795,9.07407,2.2592599,3.6805401,0.0318549,0.156234,0.27064,70.1710968,0.412502,8.5061703,2.1357999,3.59952,0.0327694,0.122961
160,0,83,113,87,0.293286,0.399293,0.30742,3.2,0.275229,0.153061,0.299115,-10.6675997,56,0.141414,0.309606,88.9349976,0.357884,6.45679,2.0123501,3.2779,0.042524,-0.0587803,0.422647,166.2180023,0.393986,6.2592602,1.93827,3.2838099,0.0458772,-0.142,0.325231,99.722702,0.391687,6.4197502,1.9506201,3.2408299,0.048011,-0.170226
122,0,44,69,44,0.280255,0.43949,0.280255,-7.4000001,0.362319,0.221239,0.421831,-5.6575499,50,0.221239,0.18615,39.7141991,0.340177,10.4814997,2.5555601,3.75667,0.0260631,0.185669,0.28125,86.2666016,0.263958,14.9383001,3.1357999,3.9985499,0.0211858,0.256744,0.187307,41.0713997,0.305338,11.1234999,2.6790099,3.8829401,0.0236244,0.142202
115,0,83,109,75,0.310861,0.40824,0.280899,7.1999998,0.222222,0.135417,0.265956,-11.7635002,60,0.159574,0.265432,69.0837021,0.440171,5.5802498,1.75309,3.34131,0.040695,0.106449,0.348958,118.7509995,0.448276,6.1851802,1.79012,3.3168001,0.0434385,0.0831604,0.24267,58.5732002,0.412758,4.8888898,1.7284,3.27876,0.0440482,0.0949949
109,0,42,58,35,0.311111,0.42963,0.259259,0.8,0.246154,0.16,0.312012,-0.31355,39,0.202073,0.252315,64.2860031,0.247394,11.8024998,2.8642001,3.7311699,0.0263679,-0.267865,0.332176,106.6900024,0.227077,13.0864,3.03704,3.63063,0.0318549,-0.200431,0.228202,53.4528008,0.206997,12.4568005,3.0246899,3.6842401,0.0291114,-0.322603
101,0,76,102,80,0.294574,0.395349,0.310078,4.4000001,0.265306,0.146067,0.286032,-6.7585502,48,0.133333,0.218171,56.8306999,0.269842,11.6173,2.7777801,3.8829401,0.0224051,0.0982832,0.303819,102.762001,0.259108,13.6173,3,4.0285802,0.019052,0.10239,0.223187,58.9161987,0.257653,11.7653999,2.8271599,3.9065101,0.0224051,0.100023
97,0,60,88,56,0.294118,0.431373,0.27451,-4,0.304348,0.189189,0.365303,-10.7205,60,0.205479,0.244406,53.6665993,0.37739,7.0246902,2.03704,3.2483699,0.0531931,-0.147815,0.357253,115.1520004,0.365293,8.83951,2.2962999,3.46141,0.0419143,0.061455,0.229167,48.2372017,0.361589,7.1851802,2.0987699,3.3006201,0.0483158,-0.233234
92,0,19,46,19,0.22619,0.547619,0.22619,-19.3999996,0.586957,0.415385,0.708518,-6.0445499,54,0.415385,0.243441,55.0611,0.288361,12.6667004,2.8642001,3.6143701,0.0361225,0.291866,0.353395,113.2549973,0.264737,15.9012003,3.18519,3.7485001,0.0281969,0.268102,0.250579,58.7579002,0.25097,12.9012003,2.9506199,3.6735899,0.0297211,0.252045
78,0,34,59,34,0.267717,0.464567,0.267717,-11.3999996,0.423729,0.268817,0.501402,-5.1075501,50,0.268817,0.227623,47.6699982,0.300114,8.1728401,2.3703699,3.42802,0.0391709,0.0851942,0.329089,96.3809967,0.304703,9.38272,2.5185201,3.6101799,0.0309404,0.24833,0.22473,46.0171013,0.322487,8.8024702,2.4074099,3.40588,0.038866,-0.0362578
66,0,88,117,73,0.316547,0.420863,0.26259,6.1999998,0.219697,0.141463,0.277376,-17.3766003,73,0.18481,0.3424,120.5709991,0.269378,12.0122995,2.8271599,3.7583101,0.0285018,0.219392,0.447917,201.6999969,0.238959,14.5925999,3.11111,3.7428999,0.0275873,0.281353,0.300347,92.1428986,0.314122,9.54321,2.4814799,3.58972,0.0330742,0.190189
60,0,60,91,61,0.283019,0.429245,0.287736,-7,0.344444,0.205298,0.39399,-11.4385004,61,0.20132,0.321952,108.2369995,0.360393,7.3456802,2.1357999,3.55549,0.0336839,-0.0024729,0.442901,199.8480072,0.367831,7.1111102,2.0987699,3.49123,0.0345984,0.027475,0.323302,109.8939972,0.353486,7.2592602,2.14815,3.5478201,0.0345984,0.0001334
53,0,47,80,45,0.273256,0.465116,0.261628,-14.1999998,0.402439,0.259843,0.486816,-13.6405001,68,0.269841,0.25733,72.0659027,0.260454,12.3704004,2.8642001,3.6466701,0.0303307,-0.395703,0.387924,155.8209991,0.211498,14.8519001,3.2222199,3.6550601,0.0297211,-0.415775,0.257909,72.8890991,0.237102,13.4197998,3.0493801,3.5344,0.0358177,-0.45096
31,0,41,64,38,0.286713,0.447552,0.265734,-6.5999999,0.343284,0.219048,0.418037,-4.88555,49,0.236715,0.183256,35.3326988,0.209569,16.0247002,3.3580201,3.68595,0.0309404,-0.0374359,0.273534,73.0185013,0.182828,23.530899,4.0246902,3.8315899,0.0245389,0.127522,0.18615,35.8853989,0.242936,15.4938002,3.27161,3.76647,0.0269776,0.0313316
25,0,52,79,57,0.276596,0.420213,0.303191,-6.1999998,0.364865,0.206107,0.395416,-5.9345498,49,0.183521,0.27064,72.4021988,0.408754,4.4320998,1.69136,3.34217,0.0409998,-0.0367889,0.368634,129.7380066,0.425142,4.7777801,1.69136,3.3559401,0.0419143,0.0529213,0.28858,81.1367035,0.391442,5.0617299,1.80247,3.36169,0.0422192,-0.0349266
